2,25,1,1
4,32,2,2
22,14,3,3
13,46,4,4
18,21,5,5
7,55,6,6
9,37,7,7
10,43,8,8
16,32,9,9
17,58,10,10
1,51,11,11
19,37,12,12
23,39,13,13
12,12,14,14
16,34,15,15
18,47,16,16
6,26,17,17
17,48,18,18
3,23,1,1
4,56,2,2
23,32,3,3
14,18,4,4
19,43,5,5
8,27,6,6
10,36,7,7
11,39,8,8
17,24,9,9
2,11,10,10
20,17,11,11
1,57,12,12
13,27,13,13
17,51,14,14
19,13,15,15
7,25,16,16
18,17,17,17
4,30,18,18
4,30,1,1
4,30,2,2
4,30,3,3
4,30,4,4
4,30,5,5
4,30,6,6
4,30,7,7
4,30,8,8
4,30,9,9
4,30,10,10
4,30,11,11
4,30,12,12
4,30,13,13
4,30,14,14
4,30,15,15
4,30,16,16
4,30,17,17
4,30,18,18
